date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-08-17,-17.857142857142858,-5.571428571428571,31.285714285714285,-25.285714285714285,-33.57142857142857,9.285714285714286,-2.603337269173983,Albuquerque Fire Rescue (73343)
2020-08-24,-20.428571428571427,-7.285714285714286,26.142857142857142,-26.571428571428573,-32.857142857142854,9.428571428571429,-3.0997515870313594,Albuquerque Fire Rescue (73343)
2020-08-31,-18.857142857142858,-10.285714285714286,29.571428571428573,-27.142857142857142,-31.714285714285715,9.142857142857142,-5.468959147906181,Albuquerque Fire Rescue (73343)
2020-09-07,-16.428571428571427,-7.285714285714286,31.571428571428573,-20.142857142857142,-38.285714285714285,8.714285714285714,-6.145259916301826,Albuquerque Fire Rescue (73343)
2020-09-14,-17.428571428571427,-8.571428571428571,16.285714285714285,-19.571428571428573,-32.57142857142857,9.0,-1.266030697708318,Albuquerque Fire Rescue (73343)
2020-09-21,-17.142857142857142,-8.142857142857142,29.428571428571427,-19.857142857142858,-30.857142857142858,8.285714285714286,-5.5102666197426755,Albuquerque Fire Rescue (73343)
2020-09-28,-18.714285714285715,-8.142857142857142,17.285714285714285,-21.142857142857142,-30.571428571428573,8.428571428571429,-5.816269265567625,Albuquerque Fire Rescue (73343)
2020-10-05,-17.0,-5.0,16.285714285714285,-20.571428571428573,-30.285714285714285,8.285714285714286,-3.3452653465016877,Albuquerque Fire Rescue (73343)
2020-10-12,-18.571428571428573,-6.428571428571429,17.857142857142858,-19.428571428571427,-32.42857142857143,8.428571428571429,2.4274330901619154,Albuquerque Fire Rescue (73343)
2020-10-19,-20.285714285714285,-7.0,13.0,-17.857142857142858,-31.142857142857142,9.142857142857142,5.692382249256689,Albuquerque Fire Rescue (73343)
2020-10-26,-22.571428571428573,-8.285714285714286,1.4285714285714286,-21.571428571428573,-32.142857142857146,10.285714285714286,9.595613727692813,Albuquerque Fire Rescue (73343)
