,date,count,department_name,year,month,day_of_week,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,January,March,May
28703,2020-01-03,168,Orlando Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
15643,2020-01-03,9,Fishers Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
17023,2020-01-03,67,Hall County Fire Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
6077,2020-01-03,69,Cape Coral Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
32464,2020-01-03,4,Rincon Valley Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
3639,2020-01-03,24,Beavercreek Township Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
40640,2020-01-03,27,Torrington Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
16327,2020-01-03,47,Golder Ranch Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
2410,2020-01-03,303,Anne Arundel County Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
19924,2020-01-03,175,Lexington Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
5719,2020-01-03,145,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
36551,2020-01-03,26,South Adams County Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
42446,2020-01-03,589,Washington DC Fire & EMS Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
10126,2020-01-03,118,City of Saint Paul Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
22950,2020-01-03,192,Mesa Fire and Medical Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
25724,2020-01-03,24,Noblesville Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
5024,2020-01-03,205,Boston Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
25032,2020-01-03,81,Newport News Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
24336,2020-01-03,29,New Rochelle Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
31936,2020-01-03,93,Richmond Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
1026,2020-01-03,275,Albuquerque Fire Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
13104,2020-01-03,17,Delaware Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
20617,2020-01-03,1185,Los Angeles County Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
11452,2020-01-03,624,Columbus Division of Fire,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
38287,2020-01-03,153,St Lucie County Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
2978,2020-01-03,39,Asheville Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
335,2020-01-03,25,Adams County Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
29716,2020-01-03,79,Pasco Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
7172,2020-01-03,37,Cedar Rapids Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
9441,2020-01-03,57,City of Roseville Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
44028,2020-01-03,91,West Palm Beach Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
37931,2020-01-03,15,St Louis Park Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
1717,2020-01-03,62,Alexandria Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
41777,2020-01-03,244,Tucson Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
10634,2020-01-03,4,City of Westfield Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
39330,2020-01-03,100,The Villages Public Safety Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
22260,2020-01-03,430,Memphis Division of Fire Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
21303,2020-01-03,70,Loudoun County Fire Rescue and EMS,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
27721,2020-01-03,80,Ontario Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
7802,2020-01-03,1,Cicero Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
6755,2020-01-03,21,Carmel Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
33264,2020-01-03,13,Rogers Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
23644,2020-01-03,730,Miami-Dade Fire Rescue Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
30554,2020-01-03,8,Plainfield Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
14352,2020-01-03,36,East Pierce Fire and Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
26413,2020-01-03,34,Northwest Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
12129,2020-01-03,24,Coral Gables Fire and Rescue Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
4330,2020-01-03,47,Bellevue Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
37241,2020-01-03,6,Southern Platte Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
33958,2020-01-03,276,Sacramento Metropolitan Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
17773,2020-01-03,14,Jackson County Fire District 3,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
12130,2020-01-04,17,Coral Gables Fire and Rescue Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
23645,2020-01-04,735,Miami-Dade Fire Rescue Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
14997,2020-01-04,2,Fairmount Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
43338,2020-01-04,107,West Metro Fire Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
19925,2020-01-04,137,Lexington Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
5720,2020-01-04,187,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
10635,2020-01-04,6,City of Westfield Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
2979,2020-01-04,44,Asheville Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
17024,2020-01-04,54,Hall County Fire Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
38288,2020-01-04,158,St Lucie County Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
11453,2020-01-04,522,Columbus Division of Fire,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
36552,2020-01-04,26,South Adams County Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
26414,2020-01-04,43,Northwest Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
41083,2020-01-04,22,Town of Manchester Fire-Rescue-EMS Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
10127,2020-01-04,125,City of Saint Paul Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
5025,2020-01-04,216,Boston Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
41778,2020-01-04,239,Tucson Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
25033,2020-01-04,92,Newport News Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
4331,2020-01-04,38,Bellevue Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
6078,2020-01-04,68,Cape Coral Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
20618,2020-01-04,1102,Los Angeles County Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
24337,2020-01-04,28,New Rochelle Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
27722,2020-01-04,61,Ontario Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
29717,2020-01-04,57,Pasco Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
21304,2020-01-04,79,Loudoun County Fire Rescue and EMS,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
33265,2020-01-04,16,Rogers Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
42447,2020-01-04,592,Washington DC Fire & EMS Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
336,2020-01-04,21,Adams County Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
13105,2020-01-04,15,Delaware Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
31937,2020-01-04,125,Richmond Fire and Emergency Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
