department_name,date,retail/recreation_avg,grocery/pharmacy_avg,parks_avg,workplace_avg,residential_avg,level_1,avg_change_baseline_incidents
Beavercreek Township Fire Department,2020-03-23,-36.285714285714285,6.428571428571429,8.285714285714286,-33.714285714285715,14.0,3724,-16.453633856171994
Beavercreek Township Fire Department,2020-03-30,-49.714285714285715,-17.714285714285715,48.857142857142854,-50.857142857142854,19.714285714285715,3731,-19.87771429849214
Beavercreek Township Fire Department,2020-04-06,-44.285714285714285,-11.714285714285714,42.57142857142857,-53.857142857142854,20.285714285714285,3738,-47.03380321393685
Beavercreek Township Fire Department,2020-04-13,-48.57142857142857,-16.142857142857142,48.142857142857146,-52.57142857142857,19.571428571428573,3745,-14.56673382568867
Beavercreek Township Fire Department,2020-04-20,-43.142857142857146,-12.714285714285714,44.714285714285715,-49.857142857142854,19.0,3751,-43.15903788054275
Beavercreek Township Fire Department,2020-04-27,-41.0,-10.571428571428571,70.14285714285714,-49.42857142857143,18.285714285714285,3758,-37.47182857887979
Beavercreek Township Fire Department,2020-05-04,-36.42857142857143,-5.428571428571429,58.142857142857146,-49.714285714285715,17.0,3765,-26.540070795706914
Beavercreek Township Fire Department,2020-05-11,-35.285714285714285,-0.7142857142857143,50.42857142857143,-43.0,15.428571428571429,3772,-11.856959036439212
Beavercreek Township Fire Department,2020-05-18,-28.857142857142858,-4.714285714285714,48.42857142857143,-43.714285714285715,15.714285714285714,3779,-10.045885035371615
Beavercreek Township Fire Department,2020-05-25,-20.571428571428573,-1.4285714285714286,58.285714285714285,-46.42857142857143,15.0,3786,-10.987703929561436
Bellevue Fire Department,2020-02-17,7.333333333333333,1.0,31.333333333333332,-15.0,2.0,4381,-1.0580159777903018
Bellevue Fire Department,2020-02-24,2.4285714285714284,-1.1428571428571428,38.142857142857146,-3.4285714285714284,0.0,4388,3.9118375284020317
Bellevue Fire Department,2020-03-02,4.285714285714286,3.7142857142857144,30.857142857142858,1.0,-0.2857142857142857,4395,2.9262058970282463
Bellevue Fire Department,2020-03-09,-6.142857142857143,1.1428571428571428,24.142857142857142,-12.428571428571429,5.428571428571429,4402,-3.3287255114906507
Bellevue Fire Department,2020-03-16,-17.285714285714285,4.714285714285714,22.142857142857142,-28.0,10.857142857142858,4409,-7.622904685780038
Bellevue Fire Department,2020-03-23,-43.57142857142857,-7.571428571428571,52.285714285714285,-49.42857142857143,19.142857142857142,4416,-6.946552437152524
Bellevue Fire Department,2020-03-30,-56.714285714285715,-25.285714285714285,-16.285714285714285,-61.0,25.142857142857142,4422,-22.834632351559605
Bellevue Fire Department,2020-04-06,-54.714285714285715,-22.857142857142858,2.142857142857143,-63.42857142857143,25.571428571428573,4429,-23.608139701360603
Bellevue Fire Department,2020-04-13,-55.285714285714285,-21.571428571428573,23.857142857142858,-63.57142857142857,24.857142857142858,4436,-16.8878288921364
Bellevue Fire Department,2020-04-20,-52.857142857142854,-22.0,19.857142857142858,-61.0,24.285714285714285,4443,-15.630778230122791
Bellevue Fire Department,2020-04-27,-53.42857142857143,-23.571428571428573,-4.571428571428571,-60.142857142857146,24.428571428571427,4450,-30.94732042438542
Bellevue Fire Department,2020-05-04,-49.57142857142857,-19.142857142857142,6.857142857142857,-58.42857142857143,21.857142857142858,4457,-25.094183103494466
Bellevue Fire Department,2020-05-11,-45.57142857142857,-12.142857142857142,50.57142857142857,-55.42857142857143,20.428571428571427,4464,-13.199525962571814
Bellevue Fire Department,2020-05-18,-46.714285714285715,-17.142857142857142,32.0,-54.0,21.285714285714285,4470,-16.383385272742835
Bellevue Fire Department,2020-05-25,-45.57142857142857,-15.857142857142858,26.285714285714285,-55.42857142857143,20.857142857142858,4477,-20.760427867010183
Boston Fire Department,2020-02-17,7.0,-3.3333333333333335,11.666666666666666,-14.666666666666666,3.3333333333333335,5076,2.3250577904807743
Boston Fire Department,2020-02-24,1.8571428571428572,-1.7142857142857142,17.428571428571427,-1.7142857142857142,1.0,5083,-6.751774969910274
Boston Fire Department,2020-03-02,7.142857142857143,2.142857142857143,16.714285714285715,2.4285714285714284,-0.42857142857142855,5090,0.2588507881829349
Boston Fire Department,2020-03-09,4.857142857142857,5.142857142857143,31.571428571428573,0.8571428571428571,-0.42857142857142855,5097,4.525452037474788
Boston Fire Department,2020-03-16,-14.571428571428571,14.571428571428571,3.0,-12.714285714285714,5.857142857142857,5104,-3.5908421413640466
Boston Fire Department,2020-03-23,-52.42857142857143,-9.285714285714286,-23.857142857142858,-49.142857142857146,20.571428571428573,5111,-18.71359765868906
Boston Fire Department,2020-03-30,-64.71428571428571,-27.571428571428573,-33.142857142857146,-60.285714285714285,26.0,5118,-24.680253271718446
Boston Fire Department,2020-04-06,-65.0,-24.0,-38.0,-62.857142857142854,26.714285714285715,5125,-19.910745620326217
Boston Fire Department,2020-04-20,-65.28571428571429,-30.857142857142858,-38.57142857142857,-63.285714285714285,27.142857142857142,5138,-19.28772660261461
Boston Fire Department,2020-04-27,-66.14285714285714,-34.285714285714285,-46.714285714285715,-62.42857142857143,27.285714285714285,5145,-26.70543208184041
Boston Fire Department,2020-05-04,-60.142857142857146,-25.285714285714285,-17.142857142857142,-59.57142857142857,23.714285714285715,5152,-14.549748124011487
Boston Fire Department,2020-05-11,-59.714285714285715,-23.285714285714285,-31.428571428571427,-58.285714285714285,24.285714285714285,5159,-19.556582709408218
Boston Fire Department,2020-05-18,-57.714285714285715,-23.714285714285715,-7.0,-56.142857142857146,22.714285714285715,5166,-15.741645973266184
Boston Fire Department,2020-05-25,-55.714285714285715,-22.571428571428573,4.714285714285714,-56.0,21.428571428571427,5173,-14.710647647931731
Broward County Sheriffs Office Department of Fire Rescue,2020-02-17,0.3333333333333333,-1.0,0.6666666666666666,-8.666666666666666,2.6666666666666665,5769,16.281678421185713
Broward County Sheriffs Office Department of Fire Rescue,2020-02-24,1.1428571428571428,0.7142857142857143,3.7142857142857144,1.0,0.14285714285714285,5775,19.37515375831117
Broward County Sheriffs Office Department of Fire Rescue,2020-03-02,4.142857142857143,3.857142857142857,3.4285714285714284,1.4285714285714286,-0.42857142857142855,5781,19.630859694588814
